n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
4,16,6,z,m1,0.05,0.05,0,0,0.0,0.0,0.0,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.1,0,1,0.0,1,1,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.15,0,40,0.0,1,1,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.2,0,173,0.0,1,1,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.25,0,497,0.0,1,1,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.3,0,1319,0.0,1,1,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.35,0,3026,0.0,1,1,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.39999999999999997,0,6867,0.0,1,1,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.44999999999999996,13,16474,0.0007891222532475416,0.11538461538461539,0.3076923076923077,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
4,16,6,z,m1,0.05,0.49999999999999994,3190,50259,0.06347121908513897,0.04796238244514107,0.19467084639498433,438017,1.6709022521972656,3009.443879598053,223.81563391536474,159587147.17316806,0.6875597350984994,0.7041215300559998
