n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
5,32,25,z,normal,0.05,0.05,0,980,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.1,0,3889,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.15,0,7962,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.2,0,12998,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.25,0,18412,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.3,0,24342,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.35,0,30603,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.39999999999999997,0,37112,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.44999999999999996,0,43855,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.49999999999999994,0,50656,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.5499999999999999,0,57331,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.6,0,64072,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.65,0,70772,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.7,0,77152,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.75,0,82987,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.7999999999999999,0,88369,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.85,0,93029,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.9,0,96727,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,0.95,0,99229,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.05,1.0,0,100000,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8538351058959961
5,32,25,z,normal,0.025,0.05,0,1078,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.1,0,4022,0.0,1,1,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.15,2,8066,0.0002479543763947434,-0.25,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.2,3,12965,0.00023139220979560355,-0.16666666666666666,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.25,4,18388,0.00021753317380900588,-0.125,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.3,4,24286,0.0001647039446594746,-0.125,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.35,5,30389,0.000164533219256968,-0.1,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.39999999999999997,6,36949,0.00016238599150179977,-0.08333333333333333,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.44999999999999996,7,43616,0.00016049156272927365,-0.07142857142857142,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.49999999999999994,7,50433,0.00013879800923998175,-0.07142857142857142,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
5,32,25,z,normal,0.025,0.5499999999999999,8,57321,0.00013956490640428464,-0.0625,0.0,2284033,8.712894439697266,5575.089103052858,283.3399339579046,140339054.4179855,0.5447576601549448,0.8520646691322327
