n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
5,32,25,x,m1,0.05,0.05,0,133,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.1,0,368,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.15,0,617,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.2,0,977,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.25,0,1526,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.3,0,2452,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.35,0,4289,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.39999999999999997,0,8287,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.44999999999999996,0,17617,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.49999999999999994,2332,50694,0.046001499191225786,0.12114065180102916,0.2246998284734134,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.5499999999999999,5281,82144,0.06428954031943904,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.6,5281,91357,0.05780618890725396,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.65,5281,95432,0.05533783217369436,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.7,5281,97364,0.05423976007559262,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.75,5281,98370,0.05368506658534106,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.7999999999999999,5281,98923,0.053384955975860016,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.85,5281,99303,0.053180669264775486,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.9,5281,99573,0.05303646570857562,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,0.95,5281,99804,0.05291371087331169,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.05,1.0,5281,100000,0.05281,0.11995834122325318,0.21738307138799473,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.7146524786949158
5,32,25,x,m1,0.025,0.05,0,15,0.0,1,1,2259457,8.619144439697266,3134.4449895748403,280.2889740560204,145278310.57796514,0.6858295527922305,0.6991183161735535
