n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,2,0.001,m1,0,1000000,888461,0,0,0,0.888461,0.0,0,14.603767140000857,"['x', 'x', 'x', 'x']"
4,x,3,0.0001,normal,0,1000000,989813,0,0,0,0.989813,0.0,0,22.04846534099852,"['z', 'x', 'x', 'x']"
4,x,5,0.001,m1,0,1000000,956299,0,0,0,0.956299,0.0,0,2.700015614998847,"['z', 'z', 'x', 'x']"
4,x,5,0.0005,normal,0,1000000,967948,0,0,0,0.967948,0.0,0,30.432866441999067,"['z', 'z', 'x', 'x']"
4,x,2,0.0005,m1,0,1000000,942354,0,0,0,0.942354,0.0,0,3.643889072001912,"['x', 'x', 'x', 'x']"
4,x,3,0.0005,m1,0,1000000,959935,0,0,0,0.959935,0.0,0,3.231850107000355,"['z', 'x', 'x', 'x']"
4,x,3,0.001,m1,0,1000000,921502,0,0,0,0.921502,0.0,0,12.250869749997946,"['z', 'x', 'x', 'x']"
4,x,5,0.0005,m1,0,1000000,977865,0,0,0,0.977865,0.0,0,2.2399137020001945,"['z', 'z', 'x', 'x']"
4,x,2,0.0001,m1,0,1000000,988423,0,0,0,0.988423,0.0,0,1.8521673169998396,"['x', 'x', 'x', 'x']"
4,x,5,0.0001,m1,0,1000000,995532,0,0,0,0.995532,0.0,0,1.2571295550005743,"['z', 'z', 'x', 'x']"
4,x,3,0.0001,m1,0,1000000,992027,0,0,0,0.992027,0.0,0,4.591938090001349,"['z', 'x', 'x', 'x']"
4,x,2,0.0001,normal,0,1000000,986135,0,0,0,0.986135,0.0,0,51.6258987580004,"['x', 'x', 'x', 'x']"
4,x,5,0.0001,normal,0,1000000,993587,0,0,0,0.993587,0.0,0,57.09283002300072,"['z', 'z', 'x', 'x']"
4,x,2,0.0005,normal,0,1000000,932838,0,0,0,0.932838,0.0,0,61.91701875000217,"['x', 'x', 'x', 'x']"
4,x,3,0.001,normal,0,1000000,903110,0,0,0,0.90311,0.0,0,67.24731958600023,"['z', 'x', 'x', 'x']"
4,x,3,0.0005,normal,0,1000000,950161,0,0,0,0.950161,0.0,0,73.12864872199862,"['z', 'x', 'x', 'x']"
4,x,5,0.001,normal,0,1000000,937211,0,0,0,0.937211,0.0,0,77.64957943099944,"['z', 'z', 'x', 'x']"
4,x,2,0.001,normal,0,1000000,870684,0,0,0,0.870684,0.0,0,77.64596067200182,"['x', 'x', 'x', 'x']"
