n,lstate,i,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,0.8,m1,0,init,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,1.3942348699783906,"['z', 'z', 'z', 'x']"
4,x,9,1.0,m1,0,init,1000000,1000000,6,9,0,1.0,5.999999999950489e-06,0,2.6228178119054064,"['z', 'z', 'z', 'x']"
4,x,9,0.5,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.709234809037298,"['z', 'z', 'z', 'x']"
4,x,5,1.0,m1,0,init,1000000,839224,30,61,0,0.839224,3.5747309419131845e-05,0,7.782141773961484,"['z', 'z', 'x', 'x']"
4,x,3,0.5,m1,0,init,1000000,859026,0,1,0,0.859026,0.0,0,5.794434970011935,"['z', 'x', 'x', 'x']"
4,x,5,0.8,m1,0,init,1000000,851702,3,6,0,0.851702,3.522358759333599e-06,0,12.43308925209567,"['z', 'z', 'x', 'x']"
4,x,2,0.5,m1,0,init,1000000,703931,0,0,0,0.703931,0.0,0,16.69416164793074,"['x', 'x', 'x', 'x']"
4,x,3,0.8,m1,0,init,1000000,778295,3,6,0,0.778295,3.8545795617572765e-06,0,15.566737205022946,"['z', 'x', 'x', 'x']"
4,x,5,0.5,m1,0,init,1000000,845838,0,1,0,0.845838,0.0,0,4.728433456970379,"['z', 'z', 'x', 'x']"
4,x,3,1.0,m1,0,init,1000000,727771,2,4,0,0.727771,2.7481171962495665e-06,0,16.085947798914276,"['z', 'x', 'x', 'x']"
4,x,9,0.3,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.5187855610856786,"['z', 'z', 'z', 'x']"
4,x,2,0.3,m1,0,init,1000000,840897,0,0,0,0.840897,0.0,0,7.753593396046199,"['x', 'x', 'x', 'x']"
4,x,2,0.8,m1,0,init,1000000,498846,1,2,0,0.498846,2.0046266783202427e-06,0,21.52158874401357,"['x', 'x', 'x', 'x']"
4,x,2,1.0,m1,0,init,1000000,534643,2,3,0,0.534643,3.7408139637040713e-06,0,24.93958555394784,"['x', 'x', 'x', 'x']"
4,x,9,0.1,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.393075096886605,"['z', 'z', 'z', 'x']"
4,x,3,0.3,m1,0,init,1000000,898267,0,1,0,0.898267,0.0,0,5.287928838049993,"['z', 'x', 'x', 'x']"
4,x,5,0.3,m1,0,init,1000000,961676,0,1,0,0.961676,0.0,0,2.117691021994688,"['z', 'z', 'x', 'x']"
4,x,2,0.1,m1,0,init,1000000,939276,0,0,0,0.939276,0.0,0,3.226374992984347,"['x', 'x', 'x', 'x']"
4,x,3,0.1,m1,0,init,1000000,966059,0,0,0,0.966059,0.0,0,1.843529437086545,"['z', 'x', 'x', 'x']"
4,x,5,0.1,m1,0,init,1000000,987924,0,0,0,0.987924,0.0,0,1.111348715960048,"['z', 'z', 'x', 'x']"
